school_name,type_of_school,adress,BIN,date_of_start_(MM_YY),longitude,latitude
Abis mektebi,Частная начальная школа,"37-й переулок, 2, Астана",190340001213.0,3.19,71.496232,51.147096
Abis mektebi,Частная начальная школа,"Улица Жошы хан, 14/1, Астана",190340001213.0,3.19,71.442857,51.103436
Adam school,Частная школа,"Улица Тумар ханым, 49, Астана",,,71.389452,51.145077
Alpamys school,Школы,"Кабанбай батыр проспект, 49/2, Астана",180140028935.0,1.18,71.400219,51.10248
Ardingly Astana,Школы,"Улица Аскар Токпанов, 31, Астана",230440005110.0,4.23,71.454053,51.142319
Arna Primary School,Частная школа,"Улица Баян сулу, 6, Астана",,,71.394406,51.145564
Arna Primary School,Частная школа,"Переулок Жауказын, 7, Астана",,,71.436987,51.139363
Ascend,Начальная школа,"Керей, Жанибек хандар улица, 30, Астана",,,71.437473,51.111367
Astana Garden International School,Международная школа,"Улица Алихан Бокейхан, 34, Астана",171240027609.0,12.17,71.428282,51.092529
Baqyt,Начальные школы-детские сады и прогимназии,"Улица Кайрат Рыскулбеков, 8/3, Астана",71240003670.0,12.07,71.500843,51.154686
Bibigul Tulegenova Creative School,Школы,"Улица Толе би, 31, Астана",,,71.387333,51.103904
Binom school им. А. Байтұрсынұлы,Школа-лицей,"Улица Ахмет Байтурсынулы, 49а, Астана",,,71.518997,51.117803
Binom School им. А. Бөкейхана,Школа-лицей,"Улица Шафика Чокина, 5, Астана",,,71.376509,51.121733
Binom school им. А. Кекилбаева,Школы,"Улица Турар Рыскулов, 20, Астана",,,71.43481,51.08074
Binom school им. Ы. Алтынсарина,Школа-лицей,"Улица Толе би, 42, Астана",,,71.394206,51.12011
Binom school им. Қ. Сәтбаева,Школа-лицей,"Аль-Фараби проспект, 40а, Астана",,,71.449414,51.088239
Binom School им. Қадыр Мырза Әлі,Школа-лицей,"Аль-Фараби проспект, 9/5, Астана",,,71.448841,51.099253
Bright,Международная школа,"Талгата Бигельдинова улица, 6, Астана",,,71.411072,51.164618
Canadian International School Astana,Школы,"Проспект Туран, 75, Астана",220840002179.0,8.22,71.391858,51.094404
Dara,Школа для девочек,"Проспект Нургиса Тлендиева, 2/3, Астана",230540024211.0,5.23,71.388737,51.180446
EdVille International School,Школы,"Улица Куйши Дина, 18, Астана",,,71.475014,51.146501
